window,window_end,detectable_at,rule_id,metric,value,reference,status,severity,reason,owner,escalation,action,suppressed,suppression_reason,n_rows,in_sample,model_id
1999Q1,1999-03-31,2000-03-31,MON-04,observed_over_expected,0.3818179897783397,,breach,high,"0.3818 outside breach band [0.5, 2.0]",model_owner,second_line_and_model_risk_committee,"Calibration is the dimension that converts directly into a money number: ECL is PD x LGD x EAD, so a ratio of 2.0 understates the provision by half. Warn — recalibrate at the next scheduled review. Breach — the reported provision is materially wrong; notify finance and second line in the same reporting period.",false,"",3275,true,RISKOS_PD_001
1999Q2,1999-06-30,2000-06-30,MON-04,observed_over_expected,0.44331993129705133,,breach,high,"0.4433 outside breach band [0.5, 2.0]",model_owner,second_line_and_model_risk_committee,"Calibration is the dimension that converts directly into a money number: ECL is PD x LGD x EAD, so a ratio of 2.0 understates the provision by half. Warn — recalibrate at the next scheduled review. Breach — the reported provision is materially wrong; notify finance and second line in the same reporting period.",false,"",13833,true,RISKOS_PD_001
2007Q4,2007-12-31,2008-12-31,MON-04,observed_over_expected,2.0836630407986236,,breach,high,"2.0837 outside breach band [0.5, 2.0]",model_owner,second_line_and_model_risk_committee,"Calibration is the dimension that converts directly into a money number: ECL is PD x LGD x EAD, so a ratio of 2.0 understates the provision by half. Warn — recalibrate at the next scheduled review. Breach — the reported provision is materially wrong; notify finance and second line in the same reporting period.",false,"",27449,false,RISKOS_PD_001
2008Q1,2008-03-31,2009-03-31,MON-04,observed_over_expected,2.896686452863502,,breach,high,"2.8967 outside breach band [0.5, 2.0]",model_owner,second_line_and_model_risk_committee,"Calibration is the dimension that converts directly into a money number: ECL is PD x LGD x EAD, so a ratio of 2.0 understates the provision by half. Warn — recalibrate at the next scheduled review. Breach — the reported provision is materially wrong; notify finance and second line in the same reporting period.",false,"",28124,false,RISKOS_PD_001
2008Q2,2008-06-30,2009-06-30,MON-04,observed_over_expected,3.3965538771305472,,breach,high,"3.3966 outside breach band [0.5, 2.0]",model_owner,second_line_and_model_risk_committee,"Calibration is the dimension that converts directly into a money number: ECL is PD x LGD x EAD, so a ratio of 2.0 understates the provision by half. Warn — recalibrate at the next scheduled review. Breach — the reported provision is materially wrong; notify finance and second line in the same reporting period.",false,"",29120,false,RISKOS_PD_001
2008Q3,2008-09-30,2009-09-30,MON-04,observed_over_expected,3.7934420250591288,,breach,high,"3.7934 outside breach band [0.5, 2.0]",model_owner,second_line_and_model_risk_committee,"Calibration is the dimension that converts directly into a money number: ECL is PD x LGD x EAD, so a ratio of 2.0 understates the provision by half. Warn — recalibrate at the next scheduled review. Breach — the reported provision is materially wrong; notify finance and second line in the same reporting period.",false,"",30034,false,RISKOS_PD_001
2008Q4,2008-12-31,2009-12-31,MON-04,observed_over_expected,3.977635058456983,,breach,high,"3.9776 outside breach band [0.5, 2.0]",model_owner,second_line_and_model_risk_committee,"Calibration is the dimension that converts directly into a money number: ECL is PD x LGD x EAD, so a ratio of 2.0 understates the provision by half. Warn — recalibrate at the next scheduled review. Breach — the reported provision is materially wrong; notify finance and second line in the same reporting period.",false,"",30800,false,RISKOS_PD_001
2009Q1,2009-03-31,2010-03-31,MON-04,observed_over_expected,4.723698892090878,,breach,high,"4.7237 outside breach band [0.5, 2.0]",model_owner,second_line_and_model_risk_committee,"Calibration is the dimension that converts directly into a money number: ECL is PD x LGD x EAD, so a ratio of 2.0 understates the provision by half. Warn — recalibrate at the next scheduled review. Breach — the reported provision is materially wrong; notify finance and second line in the same reporting period.",false,"",30456,false,RISKOS_PD_001
2009Q2,2009-06-30,2010-06-30,MON-04,observed_over_expected,4.256946872110375,,breach,high,"4.2569 outside breach band [0.5, 2.0]",model_owner,second_line_and_model_risk_committee,"Calibration is the dimension that converts directly into a money number: ECL is PD x LGD x EAD, so a ratio of 2.0 understates the provision by half. Warn — recalibrate at the next scheduled review. Breach — the reported provision is materially wrong; notify finance and second line in the same reporting period.",false,"",29813,false,RISKOS_PD_001
2009Q3,2009-09-30,2010-09-30,MON-04,observed_over_expected,3.6577581924002516,,breach,high,"3.6578 outside breach band [0.5, 2.0]",model_owner,second_line_and_model_risk_committee,"Calibration is the dimension that converts directly into a money number: ECL is PD x LGD x EAD, so a ratio of 2.0 understates the provision by half. Warn — recalibrate at the next scheduled review. Breach — the reported provision is materially wrong; notify finance and second line in the same reporting period.",false,"",30087,false,RISKOS_PD_001
